fcode,fname,Lat,Long,mGeoCode,sGeoCode,date_of_geocode
17892,Zigira (Community) Dispensary,-4.36865,39.49005,Taken with GPS Device,SARAM 2013,2013-04-16
11573,Mary Immaculate Cottage Hospital (Mombasa),-4.0461,39.66333,Taken with GPS Device,SARAM 2013,2013-04-15
11683,Mwakirunge Dispensary,-4.03355,39.66053,Taken with GPS Device,SARAM 2013,2013-04-11
11911,Yeshua Medical,-4.00236,39.70409,Taken with GPS Device,SARAM 2013,2013-04-13
11217,Amani Medical Clinic (Kilifi),-3.64157,39.84783,Taken with GPS Device,SARAM 2013,2013-04-11
11424,Jambo Clinic,-3.22151,40.10488,Taken with GPS Device,SARAM 2013,2013-04-12
11881,Vipingo Rural Demonstration Health Centre,-3.81928,39.80962,Taken with GPS Device,SARAM 2013,2013-04-10
16526,St Bennedticto Health Centre,-3.19804,40.11096,Taken with GPS Device,SARAM 2013,2013-04-13
16547,Kinondo Kwetu Community Clinic,-4.37555,39.52724,Taken with GPS Device,SARAM 2013,2013-04-15
11429,Jamii Health Care Clinic (Kisauni),-4.03037,39.68441,Taken with GPS Device,SARAM 2013,2013-04-13
11530,Mackinnon Medical Clinic,-4.08619,39.66458,Taken with GPS Device,SARAM 2013,2013-04-14
11772,Savana Medical Clinic,-4.02331,39.68086,Taken with GPS Device,SARAM 2013,2013-04-13
11360,Dzitsoni Medical Clinic,-3.64227,39.84997,Taken with GPS Device,SARAM 2013,2013-04-11
11534,Madunguni Dispensary,-3.18333,39.97451,Taken with GPS Device,SARAM 2013,2013-04-11
11431,Jericho Medical Clinic,-4.04284,39.68553,Taken with GPS Device,SARAM 2013,2013-04-19
11774,Sayyida Fatimah Hospital,-4.02832,39.68701,Taken with GPS Device,SARAM 2013,2013-04-17
11783,Shanzu Teachers College Clinic,-3.9682,39.74233,Taken with GPS Device,SARAM 2013,2013-04-17
11786,Shiloh Nursing Clinic,-4.02824,39.6885,Taken with GPS Device,SARAM 2013,2013-04-18
11297,Dagamra Dispensary,-3.14893,39.91768,Taken with GPS Device,SARAM 2013,2013-04-19
11571,Marikebuni Dispensary,-3.09017,40.00028,Taken with GPS Device,SARAM 2013,2013-04-10
11204,Airport View Medical Clinic,-4.02982,39.6125,Taken with GPS Device,SARAM 2013,2013-04-15
11425,Jambo Medical Clinic,-4.03867,39.6894,Taken with GPS Device,SARAM 2013,2013-04-15
11636,Mnarani Dispensary,-3.644,39.8393,Taken with GPS Device,SARAM 2013,2013-04-11
11666,Mtepeni Dispensary,-3.90731,39.72585,Taken with GPS Device,SARAM 2013,2013-04-10
11205,Memon Medical Centre,-4.05311,39.66839,Taken with GPS Device,SARAM 2013,2013-04-13
11689,Mwangatini Dispensary,-3.1423,40.042289,Taken with GPS Device,SARAM 2013,2013-04-11
11226,Ashraf Medical Clinic,-4.06111,39.67204,Taken with GPS Device,SARAM 2013,2013-04-20
11489,Kisimani Health Services,-4.02609,39.6956,Taken with GPS Device,SARAM 2013,2013-04-16
11634,Mlaleo Health Centre,-4.02771,39.68397,Taken with GPS Device,SARAM 2013,2013-04-14
11766,Salama Medical Clinic (Mombasa),-4.02061,39.68922,Taken with GPS Device,SARAM 2013,2013-04-21
11862,Tudor Health Care,-4.03712,39.66124,Taken with GPS Device,SARAM 2013,2013-04-20
16530,Al-Bir Medical Centre,-4.05228,39.67372,Taken with GPS Device,SARAM 2013,2013-04-20
11454,Kanamai Health Care,-3.91889,39.76094,Taken with GPS Device,SARAM 2013,2013-04-14
11468,Kiembeni Community,-3.99142,39.69938,Taken with GPS Device,SARAM 2013,2013-04-12
18845,Afya Medical Centre,-4.00659,39.70123,Taken with GPS Device,SARAM 2013,2013-04-16
11755,REA Vipingo Dispensary,-3.82222,39.79516,Taken with GPS Device,SARAM 2013,2013-04-16
11379,Fundi Issa Dispensary,-2.92982,40.09493,Taken with GPS Device,SARAM 2013,2013-04-10
11394,GK Prison Dispensary (Malindi),-3.19691,40.08804,Taken with GPS Device,SARAM 2013,2013-04-13
11761,Sabaki Dispensary,-3.1669,40.11085,Taken with GPS Device,SARAM 2013,2013-04-12
11272,CBK Staff Clinic (Mombasa),-4.06211,39.67664,Taken with GPS Device,SARAM 2013,2013-04-20
19019,Mephi Medical Clinic,-3.62002,39.85344,Taken with GPS Device,SARAM 2013,2013-04-10
11439,Jordan Medical Clinic,-4.01138,39.69408,Taken with GPS Device,SARAM 2013,2013-04-12
11747,Queen Kadede Medical Clinic,-4.01207,39.67991,Taken with GPS Device,SARAM 2013,2013-04-21
16532,Bakarani Community Clinic,-4.01513,39.69491,Taken with GPS Device,SARAM 2013,2013-04-15
11423,Jaffery Medical Clinic,-4.5929,39.67626,Taken with GPS Device,SARAM 2013,2013-04-18
11304,Diani Health Centre,-4.27434,39.5677,Taken with GPS Device,SARAM 2013,2013-04-10
11446,Kaderboy Medical Clinic (Old Town),-4.06217,39.67344,Taken with GPS Device,SARAM 2013,2013-04-11
11779,Senior Staff Medical Clinic,-4.06217,39.67344,Taken with GPS Device,SARAM 2013,2013-05-06
11453,Kakuyuni Dispensary (Malindi),-3.22034,40.00194,Taken with GPS Device,SARAM 2013,2013-04-12
11670,Mtopanga Clinic,-4.00609,39.69667,Taken with GPS Device,SARAM 2013,2013-04-21
11610,Mijomboni Dispensary,-3.26951,40.00334,Taken with GPS Device,SARAM 2013,2013-04-13
11672,Mtwapa Health Centre,-3.94795,39.73872,Taken with GPS Device,SARAM 2013,2013-04-10
11600,Mewa Hospital,-4.05305,39.66154,Taken with GPS Device,SARAM 2013,2013-04-18
11384,Garashi Dispensary,-3.13088,39.8913,Taken with GPS Device,SARAM 2013,2013-04-11
11239,Bamburi Dispensary,-4.00435,39.69335,Taken with GPS Device,SARAM 2013,2013-04-15
11382,Ganda Dispensary,-3.21609,40.06558,Taken with GPS Device,SARAM 2013,2013-04-11
11802,Sokoke Dispensary,-3.52547,39.78235,Taken with GPS Device,SARAM 2013,2013-04-12
11899,Wayani Medical Clinic (Likoni),-4.08305,39.6623,Taken with GPS Device,SARAM 2013,2013-04-12
11275,Chaani Maternity Nursing Home,-4.03205,39.62769,Taken with GPS Device,SARAM 2013,2013-04-15
11258,Bomu Medical Hospital (Changamwe),-4.02745,39.61751,Taken with GPS Device,SARAM 2013,2013-04-14
11815,St Grace Medical Clinic,-4.03027,39.62555,Taken with GPS Device,SARAM 2013,2013-04-14
11736,Pendo Medical Clinic (Kilindini),-4.02771,39.61241,Taken with GPS Device,SARAM 2013,2013-04-10
11471,Kikambala Medical Services,-3.88085,39.77823,Taken with GPS Device,SARAM 2013,2013-04-13
17469,Kiteje Dispensary,-4.11782,39.60132,Taken with GPS Device,SARAM 2013,2013-04-11
11506,Kwa Ndomo Medical Clinic,-3.18463,40.11279,Taken with GPS Device,SARAM 2013,2013-04-13
11710,New Road Medical care,-4.03578,39.61982,Taken with GPS Device,SARAM 2013,2013-04-15
11776,"""Ballore"""" Africa logistic Staff Clinic""",-4.01822,39.63202,Taken with GPS Device,SARAM 2013,2013-04-17
16523,Mwavizi Medical Clinic,-3.16968,40.08494,Taken with GPS Device,SARAM 2013,2013-04-15
11433,Jilore Dispensary,-3.18857,39.90593,Taken with GPS Device,SARAM 2013,2013-04-13
11645,Mother Amadea Health Centre,-4.00434,39.62743,Taken with GPS Device,SARAM 2013,2013-04-14
18482,Mavueni Dispensary,-3.678,39.79902,Taken with GPS Device,SARAM 2013,2013-04-14
11363,Eden Medical Clinic,-4.01901,39.63338,Taken with GPS Device,SARAM 2013,2013-04-18
11541,Majengo Dispensary (Mombasa),-4.04839,39.66051,Taken with GPS Device,SARAM 2013,2013-04-14
11209,Al Riyadh Medical Clinic,-4.02498,39.62522,Taken with GPS Device,SARAM 2013,2013-04-21
11378,Frontline Clinic,-4.02283,39.62131,Taken with GPS Device,SARAM 2013,2013-04-21
11614,Mikindani Catholic Dispensary,-4.00193,39.62971,Taken with GPS Device,SARAM 2013,2013-04-18
11657,Msikiti Noor Medical Clinic,-4.02597,39.62859,Taken with GPS Device,SARAM 2013,2013-04-16
11832,Stella Maris Medical Clinic,-4.02951,39.62411,Taken with GPS Device,SARAM 2013,2013-04-18
11440,Joy Medical Clinic (Changamwe),-4.00203,39.62966,Taken with GPS Device,SARAM 2013,2013-04-18
11864,Tumaini Medical Clinic (Kilindini),-4.02552,39.61199,Taken with GPS Device,SARAM 2013,2013-04-10
11527,Lutsangani Dispensary,-4.06412,39.51361,Taken with GPS Device,SARAM 2013,2013-04-10
11266,Bwagamoyo Dispensary,-3.9402,39.64462,Taken with GPS Device,SARAM 2013,2013-04-17
19066,The Nyali Childrens Hospital (Mikindani),-4.00551,39.62928,Taken with GPS Device,SARAM 2013,2013-04-27
11216,Amani Medical Clinic (Changamwe),-3.99953,39.60588,Taken with GPS Device,SARAM 2013,2013-04-16
11255,Bomani Dispensary,-3.88414,39.74945,Taken with GPS Device,SARAM 2013,2013-04-12
11452,Kakoneni Dispensary,-3.16442,39.86595,Taken with GPS Device,SARAM 2013,2013-04-11
11870,Upendo Health Care Clinic,-3.17354,39.86014,Taken with GPS Device,SARAM 2013,2013-04-11
13398,Liboi Health Centre,0.21137,40.52367,Taken with GPS Device,SARAM 2013,2013-04-22
11430,Jaribuni Dispensary,-3.6326,39.74256,Taken with GPS Device,SARAM 2013,2013-04-12
11276,Chakama Dispensary,-3.122,39.63333,Taken with GPS Device,SARAM 2013,2013-04-12
11562,Marafa Health Centre,-3.02853,39.95973,Taken with GPS Device,SARAM 2013,2013-04-12
11578,Matolani Dispensary,-3.10202,39.66969,Taken with GPS Device,SARAM 2013,2013-04-15
11248,Baricho Dispensary (Malindi),-3.10339,39.78478,Taken with GPS Device,SARAM 2013,2013-04-10
11256,Bombi Dispensary,-3.07925,39.47874,Taken with GPS Device,SARAM 2013,2013-04-15
11447,Kadzinuni Dispensary,-3.74511,39.81237,Taken with GPS Device,SARAM 2013,2013-04-12
11517,Lenga Dispensary,-3.86697,39.66193,Taken with GPS Device,SARAM 2013,2013-04-17
13403,Mandera Medicare Nursing Home,3.93531,41.85176,Taken with GPS Device,SARAM 2013,2013-04-15
13386,Kulan Health centre,0.21875,40.64415,Taken with GPS Device,SARAM 2013,2013-04-19
11514,NAWACO Clinic,-3.12989,39.78219,Taken with GPS Device,SARAM 2013,2013-04-13
11305,Dida Dispensary,-3.42885,39.80529,Taken with GPS Device,SARAM 2013,2013-04-14
11244,Baolala Dispensary,-3.17962,39.78562,Taken with GPS Device,SARAM 2013,2013-04-12
11624,Mivumoni (Catholic) Dispensary,-4.42514,39.39711,Taken with GPS Device,SARAM 2013,2013-04-12
11805,Sosoni Dispensary,-3.02795,39.323,Taken with GPS Device,SARAM 2013,2013-04-10
11581,Matuga Dispensary,-4.1771,39.56773,Taken with GPS Device,SARAM 2013,2013-04-11
11432,Jibana Sub District Hospital,-3.83116,39.68587,Taken with GPS Device,SARAM 2013,2013-04-15
16550,St Joseph Maledi Clinic,-4.44943,39.12749,Taken with GPS Device,SARAM 2013,2013-04-23
13316,Dadaab Sub-District Hospital,0.05728,40.307,Taken with GPS Device,SARAM 2013,2013-04-22
11883,Vitengeni Health Centre,-3.35899,39.70818,Taken with GPS Device,SARAM 2013,2013-04-12
11498,Kombeni Dispensary,-3.9128,39.58706,Taken with GPS Device,SARAM 2013,2013-04-15
11553,Malanga (AIC) Dispensary,-3.24695,39.79181,Taken with GPS Device,SARAM 2013,2013-04-10
11691,Mwangulu Dispensary,-4.40954,39.0134,Taken with GPS Device,SARAM 2013,2013-04-17
11196,ADC Danisa Dispensary,-3.05351,39.50986,Taken with GPS Device,SARAM 2013,2013-04-19
11444,Junju Dispensary,-3.82977,39.76133,Taken with GPS Device,SARAM 2013,2013-04-11
18404,Al-Mumtaz Medical Clinic,-0.47455,39.65443,Taken with GPS Device,SARAM 2013,2013-04-17
11682,Mwachinga Medical Clinic,-4.12869,39.42357,Taken with GPS Device,SARAM 2013,2013-04-10
11826,St Theresa Dispensary,-3.7925,39.7038,Taken with GPS Device,SARAM 2013,2013-04-12
11434,Jocham Hospital,-4.03672,39.68148,Taken with GPS Device,SARAM 2013,2013-04-16
15013,Lare Health Centre,-0.39356,36.02481,Taken with GPS Device,SARAM 2013,2013-04-11
11587,Mazumalume Dispensary,-4.24513,39.48973,Taken with GPS Device,SARAM 2013,2013-04-10
11753,Ramada Dispensary,-2.89249,40.02373,Taken with GPS Device,SARAM 2013,2013-04-13
11658,Msulwa Dispensary,-4.26404,39.46136,Taken with GPS Device,SARAM 2013,2013-04-10
19162,Afwene Clinic,-0.43407,39.65269,Taken with GPS Device,SARAM 2013,2013-04-17
11400,Godo Dispensary,-4.52498,39.02958,Taken with GPS Device,SARAM 2013,2013-04-18
18263,Dzanikeni Medical Clinic,-3.85514,39.60708,Taken with GPS Device,SARAM 2013,2013-04-17
19165,Al Qudus Clinic,-0.42807,39.65069,Taken with GPS Device,SARAM 2013,2013-04-18
11653,Muryachakwe Dispensary,-3.28833,39.57636,Taken with GPS Device,SARAM 2013,2013-04-11
11845,Tchamalo Medical Clinic,-3.54295,39.69266,Taken with GPS Device,SARAM 2013,2013-04-12
13327,Dertu Health centre,0.27263,39.79852,Taken with GPS Device,SARAM 2013,2013-04-17
19461,Al-Ramah Healthcare,-0.4406,39.6581,Taken with GPS Device,SARAM 2013,2013-04-23
19460,Garissa Pride Healthcare,-0.43522,39.65867,Taken with GPS Device,SARAM 2013,2013-04-18
11738,Pingilikani Dispensary,-3.77463,39.77309,Taken with GPS Device,SARAM 2013,2013-04-11
11681,Mwabila Dispensary,-3.85645,39.39173,Taken with GPS Device,SARAM 2013,2013-04-12
11547,Makanzani Dispensary,-3.86938,39.60597,Taken with GPS Device,SARAM 2013,2013-04-16
11627,Mkang'ombe Community Dispensary,-4.19715,39.14305,Taken with GPS Device,SARAM 2013,2013-04-11
16182,Khadija Medical Clinic,-3.89755,39.60843,Taken with GPS Device,SARAM 2013,2013-04-16
11253,Bofu Dispensary,-3.98008,39.43351,Taken with GPS Device,SARAM 2013,2013-04-11
16301,Northern Medical Clinic,3.93529,41.85414,Taken with GPS Device,SARAM 2013,2013-04-15
17871,Baobab Medical Clinic,-3.85775,39.47657,Taken with GPS Device,SARAM 2013,2013-04-18
19189,Kamkomani Dispensary,-3.88438,39.51892,Taken with GPS Device,SARAM 2013,2013-04-18
11585,Mazeras Dispensary,-3.96724,39.5453,Taken with GPS Device,SARAM 2013,2013-04-12
16181,Union Medical Dispensary,-3.88328,39.5949,Taken with GPS Device,SARAM 2013,2013-04-15
16185,Bengo Medical Clinic,-3.92993,39.56932,Taken with GPS Device,SARAM 2013,2013-04-17
17537,Deteni Medical Clinic,-3.94773,39.56164,Taken with GPS Device,SARAM 2013,2013-04-16
16294,Alnas Medical Clinic,3.93456,41.85067,Taken with GPS Device,SARAM 2013,2013-04-19
18056,Homebase Medical Clinic,-4.13919,39.31985,Taken with GPS Device,SARAM 2013,2013-04-10
17026,Kambe Kikomani Medical Clinic,-3.84001,39.62001,Taken with GPS Device,SARAM 2013,2013-04-18
16186,Dagamra Medical Clinic,-3.92117,39.53951,Taken with GPS Device,SARAM 2013,2013-04-16
16305,Tawakal Medical Clinic (Mandera East),3.92841,41.76749,Taken with GPS Device,SARAM 2013,2013-04-22
18267,Bomu Medical Centre (Mariakani),-3.87523,39.48301,Taken with GPS Device,SARAM 2013,2013-04-18
16311,Bismillahi Medical Clinic,3.93944,41.85759,Taken with GPS Device,SARAM 2013,2013-04-18
11529,Mabati Medical Clinic,-3.87494,39.48281,Taken with GPS Device,SARAM 2013,2013-04-18
16188,Mariakani Community Health Care Services,-3.85987,39.47604,Taken with GPS Device,SARAM 2013,2013-04-16
16299,Al-ansar Medical Clinic,3.93993,41.85313,Taken with GPS Device,SARAM 2013,2013-04-18
16518,Kinango Medical Clinic,-4.14047,39.31687,Taken with GPS Device,SARAM 2013,2013-04-10
18095,Matumbi Dispensary,-3.96778,39.38053,Taken with GPS Device,SARAM 2013,2013-04-12
